[TsDigitalMultiMeterViewer Ver.19.0.0 : Auto save Log-1 [@HID Multimeter] : Date 05:11:48];Geoelectric Helix Radar;Geoelectric Helix Radar
 Elapsed time | Main Value               | Mode  | Date Time
     2:00'01" ; DC    ;  69,700 ;     mV ;       ; 05:11:48
     2:00'33" ; DC    ;  69,498 ;     mV ;       ; 05:12:20
     2:00'34" ; DC    ;  69,510 ;     mV ;       ; 05:12:21
     2:00'35" ; DC    ;  69,508 ;     mV ;       ; 05:12:22
     2:00'36" ; DC    ;  69,505 ;     mV ;       ; 05:12:23
     2:00'37" ; DC    ;  69,502 ;     mV ;       ; 05:12:24
     2:00'38" ; DC    ;  69,498 ;     mV ;       ; 05:12:25
     2:00'39" ; DC    ;  69,498 ;     mV ;       ; 05:12:26
     2:00'40" ; DC    ;  69,484 ;     mV ;       ; 05:12:27
     2:00'41" ; DC    ;  69,488 ;     mV ;       ; 05:12:28
     2:00'42" ; DC    ;  69,506 ;     mV ;       ; 05:12:29
     2:00'43" ; DC    ;  69,480 ;     mV ;       ; 05:12:30
     2:00'44" ; DC    ;  69,462 ;     mV ;       ; 05:12:31
     2:00'45" ; DC    ;  69,455 ;     mV ;       ; 05:12:32
     2:00'46" ; DC    ;  69,462 ;     mV ;       ; 05:12:33
     2:00'47" ; DC    ;  69,455 ;     mV ;       ; 05:12:34
     2:00'48" ; DC    ;  69,445 ;     mV ;       ; 05:12:35
     2:00'49" ; DC    ;  69,444 ;     mV ;       ; 05:12:36
     2:00'50" ; DC    ;  69,440 ;     mV ;       ; 05:12:37
     2:00'51" ; DC    ;  69,440 ;     mV ;       ; 05:12:38
     2:00'52" ; DC    ;  69,428 ;     mV ;       ; 05:12:39
     2:00'53" ; DC    ;  69,440 ;     mV ;       ; 05:12:40
     2:00'54" ; DC    ;  69,432 ;     mV ;       ; 05:12:41
     2:00'55" ; DC    ;  69,435 ;     mV ;       ; 05:12:42
     2:00'56" ; DC    ;  69,422 ;     mV ;       ; 05:12:43
     2:00'57" ; DC    ;  69,408 ;     mV ;       ; 05:12:44
     2:00'58" ; DC    ;  69,408 ;     mV ;       ; 05:12:45
     2:00'59" ; DC    ;  69,414 ;     mV ;       ; 05:12:46
     2:01'00" ; DC    ;  69,405 ;     mV ;       ; 05:12:47
     2:01'01" ; DC    ;  69,396 ;     mV ;       ; 05:12:48
     2:01'02" ; DC    ;  69,395 ;     mV ;       ; 05:12:49
     2:01'03" ; DC    ;  69,398 ;     mV ;       ; 05:12:50
     2:01'04" ; DC    ;  69,395 ;     mV ;       ; 05:12:51
     2:01'05" ; DC    ;  69,394 ;     mV ;       ; 05:12:52
     2:01'06" ; DC    ;  69,393 ;     mV ;       ; 05:12:53
     2:01'07" ; DC    ;  69,394 ;     mV ;       ; 05:12:54
     2:01'08" ; DC    ;  69,385 ;     mV ;       ; 05:12:55
     2:01'09" ; DC    ;  69,370 ;     mV ;       ; 05:12:56
     2:01'10" ; DC    ;  69,374 ;     mV ;       ; 05:12:57
     2:01'11" ; DC    ;  69,385 ;     mV ;       ; 05:12:58
     2:01'12" ; DC    ;  69,384 ;     mV ;       ; 05:12:59
     2:01'13" ; DC    ;  69,390 ;     mV ;       ; 05:13:00
     2:01'14" ; DC    ;  69,394 ;     mV ;       ; 05:13:01
     2:01'15" ; DC    ;  69,380 ;     mV ;       ; 05:13:02
     2:01'16" ; DC    ;  69,384 ;     mV ;       ; 05:13:03
     2:01'17" ; DC    ;  69,390 ;     mV ;       ; 05:13:04
     2:01'18" ; DC    ;  69,396 ;     mV ;       ; 05:13:05
     2:01'19" ; DC    ;  69,373 ;     mV ;       ; 05:13:06
     2:01'20" ; DC    ;  69,372 ;     mV ;       ; 05:13:07
     2:01'21" ; DC    ;  69,370 ;     mV ;       ; 05:13:08
     2:01'22" ; DC    ;  69,374 ;     mV ;       ; 05:13:09
     2:01'23" ; DC    ;  69,366 ;     mV ;       ; 05:13:10
     2:01'24" ; DC    ;  69,370 ;     mV ;       ; 05:13:11
     2:01'25" ; DC    ;  69,375 ;     mV ;       ; 05:13:12
     2:01'26" ; DC    ;  69,356 ;     mV ;       ; 05:13:13
     2:01'27" ; DC    ;  69,343 ;     mV ;       ; 05:13:14
     2:01'28" ; DC    ;  69,358 ;     mV ;       ; 05:13:15
     2:01'29" ; DC    ;  69,353 ;     mV ;       ; 05:13:16
     2:01'30" ; DC    ;  69,338 ;     mV ;       ; 05:13:17
     2:01'31" ; DC    ;  69,342 ;     mV ;       ; 05:13:18
     2:01'32" ; DC    ;  69,345 ;     mV ;       ; 05:13:19
     2:01'33" ; DC    ;  69,342 ;     mV ;       ; 05:13:20
     2:01'34" ; DC    ;  69,330 ;     mV ;       ; 05:13:21
     2:01'35" ; DC    ;  69,314 ;     mV ;       ; 05:13:22
     2:01'36" ; DC    ;  69,308 ;     mV ;       ; 05:13:23
     2:01'37" ; DC    ;  69,298 ;     mV ;       ; 05:13:24
     2:01'38" ; DC    ;  69,288 ;     mV ;       ; 05:13:25
     2:01'39" ; DC    ;  69,285 ;     mV ;       ; 05:13:26
     2:01'40" ; DC    ;  69,286 ;     mV ;       ; 05:13:27
     2:01'41" ; DC    ;  69,290 ;     mV ;       ; 05:13:28
     2:01'42" ; DC    ;  69,302 ;     mV ;       ; 05:13:29
     2:01'43" ; DC    ;  69,322 ;     mV ;       ; 05:13:30
     2:01'44" ; DC    ;  69,320 ;     mV ;       ; 05:13:31
     2:01'45" ; DC    ;  69,294 ;     mV ;       ; 05:13:32
     2:01'46" ; DC    ;  69,305 ;     mV ;       ; 05:13:33
     2:01'47" ; DC    ;  69,292 ;     mV ;       ; 05:13:34
     2:01'48" ; DC    ;  69,274 ;     mV ;       ; 05:13:35
     2:01'49" ; DC    ;  69,278 ;     mV ;       ; 05:13:36
     2:01'50" ; DC    ;  69,276 ;     mV ;       ; 05:13:37
     2:01'51" ; DC    ;  69,283 ;     mV ;       ; 05:13:38
     2:01'52" ; DC    ;  69,282 ;     mV ;       ; 05:13:39
     2:01'53" ; DC    ;  69,274 ;     mV ;       ; 05:13:40
     2:01'54" ; DC    ;  69,268 ;     mV ;       ; 05:13:41
     2:01'55" ; DC    ;  69,258 ;     mV ;       ; 05:13:42
     2:01'56" ; DC    ;  69,248 ;     mV ;       ; 05:13:43
     2:01'57" ; DC    ;  69,246 ;     mV ;       ; 05:13:44
     2:01'58" ; DC    ;  69,256 ;     mV ;       ; 05:13:45
     2:01'59" ; DC    ;  69,258 ;     mV ;       ; 05:13:46
     2:02'00" ; DC    ;  69,234 ;     mV ;       ; 05:13:47
     2:02'01" ; DC    ;  69,240 ;     mV ;       ; 05:13:48
     2:02'02" ; DC    ;  69,243 ;     mV ;       ; 05:13:49
     2:02'03" ; DC    ;  69,234 ;     mV ;       ; 05:13:50
     2:02'04" ; DC    ;  69,213 ;     mV ;       ; 05:13:51
     2:02'05" ; DC    ;  69,206 ;     mV ;       ; 05:13:52
     2:02'06" ; DC    ;  69,213 ;     mV ;       ; 05:13:53
     2:02'07" ; DC    ;  69,198 ;     mV ;       ; 05:13:54
     2:02'08" ; DC    ;  69,195 ;     mV ;       ; 05:13:55
     2:02'09" ; DC    ;  69,190 ;     mV ;       ; 05:13:56
     2:02'10" ; DC    ;  69,180 ;     mV ;       ; 05:13:57
     2:02'11" ; DC    ;  69,190 ;     mV ;       ; 05:13:58
     2:02'12" ; DC    ;  69,182 ;     mV ;       ; 05:13:59
     2:02'13" ; DC    ;  69,178 ;     mV ;       ; 05:14:00
     2:02'14" ; DC    ;  69,172 ;     mV ;       ; 05:14:01
     2:02'15" ; DC    ;  69,174 ;     mV ;       ; 05:14:02
     2:02'16" ; DC    ;  69,178 ;     mV ;       ; 05:14:03
     2:02'17" ; DC    ;  69,174 ;     mV ;       ; 05:14:04
     2:02'18" ; DC    ;  69,185 ;     mV ;       ; 05:14:05
     2:02'19" ; DC    ;  69,196 ;     mV ;       ; 05:14:06
     2:02'20" ; DC    ;  69,196 ;     mV ;       ; 05:14:07
     2:02'21" ; DC    ;  69,200 ;     mV ;       ; 05:14:08
     2:02'22" ; DC    ;  69,204 ;     mV ;       ; 05:14:09
     2:02'23" ; DC    ;  69,198 ;     mV ;       ; 05:14:10
     2:02'24" ; DC    ;  69,204 ;     mV ;       ; 05:14:11
     2:02'25" ; DC    ;  69,208 ;     mV ;       ; 05:14:12
     2:02'26" ; DC    ;  69,200 ;     mV ;       ; 05:14:13
     2:02'27" ; DC    ;  69,195 ;     mV ;       ; 05:14:14
     2:02'28" ; DC    ;  69,198 ;     mV ;       ; 05:14:15
     2:02'29" ; DC    ;  69,210 ;     mV ;       ; 05:14:16
     2:02'30" ; DC    ;  69,210 ;     mV ;       ; 05:14:17
     2:02'31" ; DC    ;  69,200 ;     mV ;       ; 05:14:18
     2:02'32" ; DC    ;  69,198 ;     mV ;       ; 05:14:19
     2:02'33" ; DC    ;  69,193 ;     mV ;       ; 05:14:20
     2:02'34" ; DC    ;  69,206 ;     mV ;       ; 05:14:21
     2:02'35" ; DC    ;  69,198 ;     mV ;       ; 05:14:22
     2:02'36" ; DC    ;  69,196 ;     mV ;       ; 05:14:23
     2:02'37" ; DC    ;  69,194 ;     mV ;       ; 05:14:24
     2:02'38" ; DC    ;  69,190 ;     mV ;       ; 05:14:25
     2:02'39" ; DC    ;  69,195 ;     mV ;       ; 05:14:26
     2:02'40" ; DC    ;  69,184 ;     mV ;       ; 05:14:27
     2:02'41" ; DC    ;  69,190 ;     mV ;       ; 05:14:28
     2:02'42" ; DC    ;  69,200 ;     mV ;       ; 05:14:29
     2:02'43" ; DC    ;  69,185 ;     mV ;       ; 05:14:30
     2:02'44" ; DC    ;  69,196 ;     mV ;       ; 05:14:31
     2:02'45" ; DC    ;  69,220 ;     mV ;       ; 05:14:32
     2:02'46" ; DC    ;  69,224 ;     mV ;       ; 05:14:33
     2:02'47" ; DC    ;  69,196 ;     mV ;       ; 05:14:34
     2:02'48" ; DC    ;  69,195 ;     mV ;       ; 05:14:35
     2:02'49" ; DC    ;  69,216 ;     mV ;       ; 05:14:36
     2:02'50" ; DC    ;  69,213 ;     mV ;       ; 05:14:37
     2:02'51" ; DC    ;  69,208 ;     mV ;       ; 05:14:38
     2:02'52" ; DC    ;  69,205 ;     mV ;       ; 05:14:39
     2:02'53" ; DC    ;  69,208 ;     mV ;       ; 05:14:40
     2:02'54" ; DC    ;  69,198 ;     mV ;       ; 05:14:41
     2:02'55" ; DC    ;  69,194 ;     mV ;       ; 05:14:42
     2:02'56" ; DC    ;  69,205 ;     mV ;       ; 05:14:43
     2:02'57" ; DC    ;  69,218 ;     mV ;       ; 05:14:44
     2:02'58" ; DC    ;  69,215 ;     mV ;       ; 05:14:45
     2:02'59" ; DC    ;  69,216 ;     mV ;       ; 05:14:46
     2:03'00" ; DC    ;  69,226 ;     mV ;       ; 05:14:47
     2:03'01" ; DC    ;  69,203 ;     mV ;       ; 05:14:48
     2:03'02" ; DC    ;  69,202 ;     mV ;       ; 05:14:49
     2:03'03" ; DC    ;  69,188 ;     mV ;       ; 05:14:50
     2:03'04" ; DC    ;  69,203 ;     mV ;       ; 05:14:51
     2:03'05" ; DC    ;  69,196 ;     mV ;       ; 05:14:52
     2:03'06" ; DC    ;  69,202 ;     mV ;       ; 05:14:53
     2:03'07" ; DC    ;  69,198 ;     mV ;       ; 05:14:54
     2:03'08" ; DC    ;  69,184 ;     mV ;       ; 05:14:55
     2:03'09" ; DC    ;  69,180 ;     mV ;       ; 05:14:56
     2:03'10" ; DC    ;  69,173 ;     mV ;       ; 05:14:57
     2:03'11" ; DC    ;  69,168 ;     mV ;       ; 05:14:58
     2:03'12" ; DC    ;  69,170 ;     mV ;       ; 05:14:59
     2:03'13" ; DC    ;  69,165 ;     mV ;       ; 05:15:00
     2:03'14" ; DC    ;  69,154 ;     mV ;       ; 05:15:01
     2:03'15" ; DC    ;  69,164 ;     mV ;       ; 05:15:02
     2:03'16" ; DC    ;  69,160 ;     mV ;       ; 05:15:03
     2:03'17" ; DC    ;  69,162 ;     mV ;       ; 05:15:04
     2:03'18" ; DC    ;  69,153 ;     mV ;       ; 05:15:05
     2:03'19" ; DC    ;  69,150 ;     mV ;       ; 05:15:06
     2:03'20" ; DC    ;  69,142 ;     mV ;       ; 05:15:07
     2:03'21" ; DC    ;  69,130 ;     mV ;       ; 05:15:08
     2:03'22" ; DC    ;  69,146 ;     mV ;       ; 05:15:09
     2:03'23" ; DC    ;  69,123 ;     mV ;       ; 05:15:10
     2:03'24" ; DC    ;  69,120 ;     mV ;       ; 05:15:11
     2:03'25" ; DC    ;  69,124 ;     mV ;       ; 05:15:12
     2:03'26" ; DC    ;  69,115 ;     mV ;       ; 05:15:13
     2:03'27" ; DC    ;  69,124 ;     mV ;       ; 05:15:14
     2:03'28" ; DC    ;  69,118 ;     mV ;       ; 05:15:15
     2:03'29" ; DC    ;  69,113 ;     mV ;       ; 05:15:16
     2:03'30" ; DC    ;  69,108 ;     mV ;       ; 05:15:17
     2:03'31" ; DC    ;  69,105 ;     mV ;       ; 05:15:18
     2:03'32" ; DC    ;  69,090 ;     mV ;       ; 05:15:19
     2:03'33" ; DC    ;  69,088 ;     mV ;       ; 05:15:20
     2:03'34" ; DC    ;  69,090 ;     mV ;       ; 05:15:21
     2:03'35" ; DC    ;  69,088 ;     mV ;       ; 05:15:22
     2:03'36" ; DC    ;  69,092 ;     mV ;       ; 05:15:23
     2:03'37" ; DC    ;  69,083 ;     mV ;       ; 05:15:24
     2:03'38" ; DC    ;  69,083 ;     mV ;       ; 05:15:25
     2:03'39" ; DC    ;  69,070 ;     mV ;       ; 05:15:26
     2:03'40" ; DC    ;  69,076 ;     mV ;       ; 05:15:27
     2:03'41" ; DC    ;  69,083 ;     mV ;       ; 05:15:28
     2:03'42" ; DC    ;  69,084 ;     mV ;       ; 05:15:29
     2:03'43" ; DC    ;  69,078 ;     mV ;       ; 05:15:30
     2:03'44" ; DC    ;  69,064 ;     mV ;       ; 05:15:31
     2:03'45" ; DC    ;  69,060 ;     mV ;       ; 05:15:32
     2:03'46" ; DC    ;  69,082 ;     mV ;       ; 05:15:33
     2:03'47" ; DC    ;  69,076 ;     mV ;       ; 05:15:34
     2:03'48" ; DC    ;  69,068 ;     mV ;       ; 05:15:35
     2:03'49" ; DC    ;  69,070 ;     mV ;       ; 05:15:36
     2:03'50" ; DC    ;  69,053 ;     mV ;       ; 05:15:37
     2:03'51" ; DC    ;  69,050 ;     mV ;       ; 05:15:38
     2:03'52" ; DC    ;  69,053 ;     mV ;       ; 05:15:39
     2:03'53" ; DC    ;  69,042 ;     mV ;       ; 05:15:40
     2:03'54" ; DC    ;  69,033 ;     mV ;       ; 05:15:41
     2:03'55" ; DC    ;  69,034 ;     mV ;       ; 05:15:42
     2:03'56" ; DC    ;  69,035 ;     mV ;       ; 05:15:43
     2:03'57" ; DC    ;  69,044 ;     mV ;       ; 05:15:44
     2:03'58" ; DC    ;  69,040 ;     mV ;       ; 05:15:45
     2:03'59" ; DC    ;  69,024 ;     mV ;       ; 05:15:46
     2:04'00" ; DC    ;  69,035 ;     mV ;       ; 05:15:47
     2:04'01" ; DC    ;  69,032 ;     mV ;       ; 05:15:48
     2:04'02" ; DC    ;  69,040 ;     mV ;       ; 05:15:49
     2:04'03" ; DC    ;  69,035 ;     mV ;       ; 05:15:50
     2:04'04" ; DC    ;  69,020 ;     mV ;       ; 05:15:51
     2:04'05" ; DC    ;  69,025 ;     mV ;       ; 05:15:52
     2:04'06" ; DC    ;  69,030 ;     mV ;       ; 05:15:53
     2:04'07" ; DC    ;  69,018 ;     mV ;       ; 05:15:54
     2:04'08" ; DC    ;  69,018 ;     mV ;       ; 05:15:55
     2:04'09" ; DC    ;  69,026 ;     mV ;       ; 05:15:56
     2:04'10" ; DC    ;  69,038 ;     mV ;       ; 05:15:57
     2:04'11" ; DC    ;  69,023 ;     mV ;       ; 05:15:58
     2:04'12" ; DC    ;  69,028 ;     mV ;       ; 05:15:59
     2:04'13" ; DC    ;  69,018 ;     mV ;       ; 05:16:00
     2:04'14" ; DC    ;  69,023 ;     mV ;       ; 05:16:01
     2:04'15" ; DC    ;  69,018 ;     mV ;       ; 05:16:02
     2:04'16" ; DC    ;  69,028 ;     mV ;       ; 05:16:03
     2:04'17" ; DC    ;  69,005 ;     mV ;       ; 05:16:04
     2:04'18" ; DC    ;  69,012 ;     mV ;       ; 05:16:05
     2:04'19" ; DC    ;  69,013 ;     mV ;       ; 05:16:06
     2:04'20" ; DC    ;  69,004 ;     mV ;       ; 05:16:07
     2:04'21" ; DC    ;  69,003 ;     mV ;       ; 05:16:08
     2:04'22" ; DC    ;  68,998 ;     mV ;       ; 05:16:09
     2:04'23" ; DC    ;  68,983 ;     mV ;       ; 05:16:10
     2:04'24" ; DC    ;  68,982 ;     mV ;       ; 05:16:11
     2:04'25" ; DC    ;  68,968 ;     mV ;       ; 05:16:12
     2:04'26" ; DC    ;  68,964 ;     mV ;       ; 05:16:13
     2:04'27" ; DC    ;  68,963 ;     mV ;       ; 05:16:14
     2:04'28" ; DC    ;  68,952 ;     mV ;       ; 05:16:15
     2:04'29" ; DC    ;  68,955 ;     mV ;       ; 05:16:16
     2:04'30" ; DC    ;  68,960 ;     mV ;       ; 05:16:17
     2:04'31" ; DC    ;  68,960 ;     mV ;       ; 05:16:18
     2:04'32" ; DC    ;  68,958 ;     mV ;       ; 05:16:19
     2:04'33" ; DC    ;  68,948 ;     mV ;       ; 05:16:20
     2:04'34" ; DC    ;  68,940 ;     mV ;       ; 05:16:21
     2:04'35" ; DC    ;  68,943 ;     mV ;       ; 05:16:22
     2:04'36" ; DC    ;  68,952 ;     mV ;       ; 05:16:23
     2:04'37" ; DC    ;  68,953 ;     mV ;       ; 05:16:24
     2:04'38" ; DC    ;  68,960 ;     mV ;       ; 05:16:25
     2:04'39" ; DC    ;  68,960 ;     mV ;       ; 05:16:26
     2:04'40" ; DC    ;  68,953 ;     mV ;       ; 05:16:27
     2:04'41" ; DC    ;  68,935 ;     mV ;       ; 05:16:28
     2:04'42" ; DC    ;  68,926 ;     mV ;       ; 05:16:29
     2:04'43" ; DC    ;  68,930 ;     mV ;       ; 05:16:30
     2:04'44" ; DC    ;  68,930 ;     mV ;       ; 05:16:31
     2:04'45" ; DC    ;  68,944 ;     mV ;       ; 05:16:32
     2:04'46" ; DC    ;  68,953 ;     mV ;       ; 05:16:33
     2:04'47" ; DC    ;  68,940 ;     mV ;       ; 05:16:34
     2:04'48" ; DC    ;  68,942 ;     mV ;       ; 05:16:35
     2:04'49" ; DC    ;  68,946 ;     mV ;       ; 05:16:36
     2:04'50" ; DC    ;  68,930 ;     mV ;       ; 05:16:37
     2:04'51" ; DC    ;  68,922 ;     mV ;       ; 05:16:38
     2:04'52" ; DC    ;  68,895 ;     mV ;       ; 05:16:39
     2:04'53" ; DC    ;  68,924 ;     mV ;       ; 05:16:40
     2:04'54" ; DC    ;  68,930 ;     mV ;       ; 05:16:41
     2:04'55" ; DC    ;  68,924 ;     mV ;       ; 05:16:42
     2:04'56" ; DC    ;  68,932 ;     mV ;       ; 05:16:43
     2:04'57" ; DC    ;  68,943 ;     mV ;       ; 05:16:44
     2:04'58" ; DC    ;  68,932 ;     mV ;       ; 05:16:45
     2:04'59" ; DC    ;  68,935 ;     mV ;       ; 05:16:46
     2:05'00" ; DC    ;  68,938 ;     mV ;       ; 05:16:47
     2:05'01" ; DC    ;  68,920 ;     mV ;       ; 05:16:48
     2:05'02" ; DC    ;  68,920 ;     mV ;       ; 05:16:49
     2:05'03" ; DC    ;  68,938 ;     mV ;       ; 05:16:50
     2:05'04" ; DC    ;  68,923 ;     mV ;       ; 05:16:51
     2:05'05" ; DC    ;  68,930 ;     mV ;       ; 05:16:52
     2:05'06" ; DC    ;  68,915 ;     mV ;       ; 05:16:53
     2:05'07" ; DC    ;  68,896 ;     mV ;       ; 05:16:54
     2:05'08" ; DC    ;  68,898 ;     mV ;       ; 05:16:55
     2:05'09" ; DC    ;  68,908 ;     mV ;       ; 05:16:56
     2:05'10" ; DC    ;  68,894 ;     mV ;       ; 05:16:57
     2:05'11" ; DC    ;  68,885 ;     mV ;       ; 05:16:58
     2:05'12" ; DC    ;  68,895 ;     mV ;       ; 05:16:59
     2:05'13" ; DC    ;  68,892 ;     mV ;       ; 05:17:00
     2:05'14" ; DC    ;  68,896 ;     mV ;       ; 05:17:01
     2:05'15" ; DC    ;  68,888 ;     mV ;       ; 05:17:02
     2:05'16" ; DC    ;  68,882 ;     mV ;       ; 05:17:03
     2:05'17" ; DC    ;  68,893 ;     mV ;       ; 05:17:04
     2:05'18" ; DC    ;  68,890 ;     mV ;       ; 05:17:05
     2:05'19" ; DC    ;  68,900 ;     mV ;       ; 05:17:06
     2:05'20" ; DC    ;  68,888 ;     mV ;       ; 05:17:07
     2:05'21" ; DC    ;  68,886 ;     mV ;       ; 05:17:08
     2:05'22" ; DC    ;  68,885 ;     mV ;       ; 05:17:09
     2:05'23" ; DC    ;  68,886 ;     mV ;       ; 05:17:10
     2:05'24" ; DC    ;  68,872 ;     mV ;       ; 05:17:11
     2:05'25" ; DC    ;  68,855 ;     mV ;       ; 05:17:12
     2:05'26" ; DC    ;  68,864 ;     mV ;       ; 05:17:13
     2:05'27" ; DC    ;  68,858 ;     mV ;       ; 05:17:14
     2:05'28" ; DC    ;  68,856 ;     mV ;       ; 05:17:15
     2:05'29" ; DC    ;  68,858 ;     mV ;       ; 05:17:16
     2:05'30" ; DC    ;  68,852 ;     mV ;       ; 05:17:17
     2:05'31" ; DC    ;  68,844 ;     mV ;       ; 05:17:18
     2:05'32" ; DC    ;  68,840 ;     mV ;       ; 05:17:19
     2:05'33" ; DC    ;  68,844 ;     mV ;       ; 05:17:20
     2:05'34" ; DC    ;  68,878 ;     mV ;       ; 05:17:21
     2:05'35" ; DC    ;  68,880 ;     mV ;       ; 05:17:22
     2:05'36" ; DC    ;  68,875 ;     mV ;       ; 05:17:23
     2:05'37" ; DC    ;  68,854 ;     mV ;       ; 05:17:24
     2:05'38" ; DC    ;  68,855 ;     mV ;       ; 05:17:25
     2:05'39" ; DC    ;  68,822 ;     mV ;       ; 05:17:26
     2:05'40" ; DC    ;  68,820 ;     mV ;       ; 05:17:27
     2:05'41" ; DC    ;  68,828 ;     mV ;       ; 05:17:28
     2:05'42" ; DC    ;  68,842 ;     mV ;       ; 05:17:29
     2:05'43" ; DC    ;  68,843 ;     mV ;       ; 05:17:30
     2:05'44" ; DC    ;  68,832 ;     mV ;       ; 05:17:31
     2:05'45" ; DC    ;  68,828 ;     mV ;       ; 05:17:32
     2:05'46" ; DC    ;  68,830 ;     mV ;       ; 05:17:33
     2:05'47" ; DC    ;  68,810 ;     mV ;       ; 05:17:34
     2:05'48" ; DC    ;  68,803 ;     mV ;       ; 05:17:35
     2:05'49" ; DC    ;  68,794 ;     mV ;       ; 05:17:36
     2:05'50" ; DC    ;  68,813 ;     mV ;       ; 05:17:37
     2:05'51" ; DC    ;  68,836 ;     mV ;       ; 05:17:38
     2:05'52" ; DC    ;  68,850 ;     mV ;       ; 05:17:39
     2:05'53" ; DC    ;  68,846 ;     mV ;       ; 05:17:40
     2:05'54" ; DC    ;  68,840 ;     mV ;       ; 05:17:41
     2:05'55" ; DC    ;  68,835 ;     mV ;       ; 05:17:42
     2:05'56" ; DC    ;  68,842 ;     mV ;       ; 05:17:43
     2:05'57" ; DC    ;  68,835 ;     mV ;       ; 05:17:44
     2:05'58" ; DC    ;  68,846 ;     mV ;       ; 05:17:45
     2:05'59" ; DC    ;  68,840 ;     mV ;       ; 05:17:46
     2:06'00" ; DC    ;  68,835 ;     mV ;       ; 05:17:47
     2:06'01" ; DC    ;  68,836 ;     mV ;       ; 05:17:48
     2:06'02" ; DC    ;  68,823 ;     mV ;       ; 05:17:49
     2:06'03" ; DC    ;  68,818 ;     mV ;       ; 05:17:50
     2:06'04" ; DC    ;  68,812 ;     mV ;       ; 05:17:51
     2:06'05" ; DC    ;  68,810 ;     mV ;       ; 05:17:52
     2:06'06" ; DC    ;  68,815 ;     mV ;       ; 05:17:53
     2:06'07" ; DC    ;  68,806 ;     mV ;       ; 05:17:54
     2:06'08" ; DC    ;  68,788 ;     mV ;       ; 05:17:55
     2:06'09" ; DC    ;  68,795 ;     mV ;       ; 05:17:56
     2:06'10" ; DC    ;  68,800 ;     mV ;       ; 05:17:57
     2:06'11" ; DC    ;  68,800 ;     mV ;       ; 05:17:58
     2:06'12" ; DC    ;  68,793 ;     mV ;       ; 05:17:59
     2:06'13" ; DC    ;  68,788 ;     mV ;       ; 05:18:00
     2:06'14" ; DC    ;  68,776 ;     mV ;       ; 05:18:01
     2:06'15" ; DC    ;  68,770 ;     mV ;       ; 05:18:02
     2:06'16" ; DC    ;  68,776 ;     mV ;       ; 05:18:03
     2:06'17" ; DC    ;  68,756 ;     mV ;       ; 05:18:04
     2:06'18" ; DC    ;  68,773 ;     mV ;       ; 05:18:05
     2:06'19" ; DC    ;  68,756 ;     mV ;       ; 05:18:06
     2:06'20" ; DC    ;  68,758 ;     mV ;       ; 05:18:07
     2:06'21" ; DC    ;  68,754 ;     mV ;       ; 05:18:08
