[TsDigitalMultiMeterViewer Ver.19.0.0 : Auto save Log-1 [@HID Multimeter] : Date 05:11:48];Geoelectric Helix Radar;Geoelectric Helix Radar
 Elapsed time | Main Value               | Mode  | Date Time
     2:00'01" ; DC    ;  69,700 ;     mV ;       ; 05:11:48
     2:00'02" ; DC    ;  69,693 ;     mV ;       ; 05:11:49
     2:00'03" ; DC    ;  69,683 ;     mV ;       ; 05:11:50
     2:00'04" ; DC    ;  69,664 ;     mV ;       ; 05:11:51
     2:00'05" ; DC    ;  69,682 ;     mV ;       ; 05:11:52
     2:00'06" ; DC    ;  69,655 ;     mV ;       ; 05:11:53
     2:00'07" ; DC    ;  69,658 ;     mV ;       ; 05:11:54
     2:00'08" ; DC    ;  69,653 ;     mV ;       ; 05:11:55
     2:00'09" ; DC    ;  69,653 ;     mV ;       ; 05:11:56
     2:00'10" ; DC    ;  69,640 ;     mV ;       ; 05:11:57
     2:00'11" ; DC    ;  69,628 ;     mV ;       ; 05:11:58
     2:00'12" ; DC    ;  69,630 ;     mV ;       ; 05:11:59
     2:00'13" ; DC    ;  69,635 ;     mV ;       ; 05:12:00
     2:00'14" ; DC    ;  69,650 ;     mV ;       ; 05:12:01
     2:00'15" ; DC    ;  69,640 ;     mV ;       ; 05:12:02
     2:00'16" ; DC    ;  69,624 ;     mV ;       ; 05:12:03
     2:00'17" ; DC    ;  69,638 ;     mV ;       ; 05:12:04
     2:00'18" ; DC    ;  69,614 ;     mV ;       ; 05:12:05
     2:00'19" ; DC    ;  69,603 ;     mV ;       ; 05:12:06
     2:00'20" ; DC    ;  69,620 ;     mV ;       ; 05:12:07
     2:00'21" ; DC    ;  69,608 ;     mV ;       ; 05:12:08
     2:00'22" ; DC    ;  69,605 ;     mV ;       ; 05:12:09
     2:00'23" ; DC    ;  69,584 ;     mV ;       ; 05:12:10
     2:00'24" ; DC    ;  69,563 ;     mV ;       ; 05:12:11
     2:00'25" ; DC    ;  69,552 ;     mV ;       ; 05:12:12
     2:00'26" ; DC    ;  69,550 ;     mV ;       ; 05:12:13
     2:00'27" ; DC    ;  69,556 ;     mV ;       ; 05:12:14
     2:00'28" ; DC    ;  69,553 ;     mV ;       ; 05:12:15
     2:00'29" ; DC    ;  69,534 ;     mV ;       ; 05:12:16
     2:00'30" ; DC    ;  69,522 ;     mV ;       ; 05:12:17
     2:00'31" ; DC    ;  69,525 ;     mV ;       ; 05:12:18
     2:00'32" ; DC    ;  69,504 ;     mV ;       ; 05:12:19
